NYSE / NASDAQ Mining Company Date,RIO - Adj Close,RIO - Volume,SQM - Adj Close,SQM - Volume,FCX - Adj Close,FCX - Volume,BHP - Adj Close,BHP - Volume,NEM - Adj Close,NEM - Volume,SCCO - Adj Close,SCCO - Volume,HBM - Adj Close,HBM - Volume,ERO - Adj Close,ERO - Volume,VALE - Adj Close,VALE - Volume
08/03/12,24.39279,3277900,32.755768,412443,30.611425,16682900,39.091919,2867518,42.411491,4915200,19.609432,1340100,11.082143,48600,,,11.51083,14982300
09/03/12,24.326044,2973600,32.530106,129915,30.05344,27650700,39.160591,2734231,42.359364,5463700,19.703592,3296800,11.571752,84700,,,11.402098,14496100
12/03/12,23.978977,2685500,32.169037,196362,29.650465,19575400,38.822548,2850591,41.51783,7370500,19.854237,1699800,10.884415,105000,,,11.110494,28191900
13/03/12,24.926744,3849700,32.547028,512884,30.293692,22633400,39.820843,5373289,41.113159,9769400,20.274799,2041000,11.157467,74300,,,11.673927,29537800
14/03/12,24.268204,3225000,32.112621,413470,29.541971,21397800,38.748596,5554555,40.69347,14100200,19.785194,1994600,11.100969,43600,,,11.555309,19427000
15/03/12,24.90004,3258000,32.496254,546159,29.720211,19077300,39.276798,3958699,40.34874,9902600,19.79775,1814800,11.063311,23600,,,11.69864,17595600
16/03/12,25.282713,4474300,33.325584,344148,29.882948,22687300,39.451107,3256169,40.281303,12198000,19.998613,1804500,11.254204,5000,,,11.743123,13575800
19/03/12,25.429548,2691400,33.376369,318370,30.33243,16500800,39.884228,2530882,40.116425,4868800,20.199478,1595000,11.111747,18100,,,11.753009,13984800
20/03/12,24.539631,3827100,33.252243,390157,30.340191,20492100,38.563732,4395777,40.22884,8193300,19.684755,2913100,10.912305,25000,,,11.520715,21146000
21/03/12,24.290447,3831200,33.410217,221627,30.843916,23932800,38.120049,2346253,39.84663,7848500,19.822857,1575300,10.760348,203200,,,11.466351,13680700
22/03/12,23.418325,3999700,32.620373,223475,29.704708,24719400,37.343597,4819627,39.277081,7193600,19.370911,1889400,10.380461,44200,,,11.238999,18323600
23/03/12,23.912231,3219600,32.704998,277187,29.820951,17399600,37.808407,3147768,39.959053,7213600,19.433681,1663400,10.750851,22200,,,11.293364,12035200
26/03/12,24.054621,2248900,33.444077,329256,30.130953,15395600,38.352448,3370959,40.056465,8496100,19.578051,1811000,10.826829,26800,,,11.451518,10847900
27/03/12,23.916681,3424800,33.212742,306662,30.030201,13853100,37.755589,2281235,39.337032,9123700,19.898174,3356000,10.807836,8000,,,11.48612,15041700
28/03/12,23.498423,2900600,33.049149,357704,28.952982,30542800,37.380566,4089632,38.595097,7489600,19.697315,3544700,10.41845,28200,,,11.258769,13603600
29/03/12,24.223705,3684000,33.004017,414703,29.14673,17773600,37.70805,3719590,38.475204,9081700,19.678482,2073800,10.408952,39400,,,11.377385,15148800
30/03/12,24.735407,3445000,33.099922,500765,29.479969,14766000,38.241528,3504246,38.422749,6089300,19.904451,2359300,10.408952,31200,,,11.530599,15274600
02/04/12,25.474049,3483000,33.703583,486182,30.309183,19636600,39.002132,3252469,39.052246,5477900,20.029995,2422500,10.693869,24300,,,11.827143,20398500
03/04/12,25.002388,3676700,33.596397,298754,29.898453,17645700,37.903477,8005509,37.72578,9491700,19.885624,2050600,10.31398,26300,,,11.599793,20997300
04/04/12,24.099113,3127900,33.50613,206735,29.472227,13707300,36.936878,7042122,36.369328,13609100,19.540384,2007700,10.143031,18100,,,11.332903,16385400
05/04/12,24.13471,2760600,33.207115,342915,29.293968,14104000,36.994991,2930294,35.769787,8900000,19.301857,1418600,10.095543,24900,,,11.323019,12933100
09/04/12,24.116911,1613500,32.92503,251512,29.069233,12470100,36.921036,1882047,35.972137,6859200,19.119825,1954900,10.029063,26300,,,11.238999,12568700
10/04/12,23.298182,4985900,32.383415,699798,28.387253,18894700,36.450943,5065911,36.699081,10937500,18.95035,3212300,9.715655,22600,,,11.041304,17483800
11/04/12,23.605211,3106300,32.642948,357704,27.967503,20890200,36.625248,3049008,35.972137,7874900,18.956621,2161500,9.924595,89300,,,11.075899,15713500
12/04/12,24.984589,5647300,32.829128,267636,29.616785,21390400,37.929893,3530477,37.133732,7726600,19.998613,2941300,10.323479,12200,,,11.787604,38907500
13/04/12,24.419491,3609800,32.377781,137002,28.874224,15366600,37.21154,3126357,36.481728,6706400,19.515284,2582200,10.219008,11600,,,11.787604,25984700
16/04/12,24.450632,3018500,32.180317,180341,28.858576,14652000,37.417538,2353091,36.099529,6489500,19.621994,1815700,9.97208,11100,,,11.503316,21590100
17/04/12,25.00684,3179200,32.439835,225324,29.515175,17765600,37.929893,2594442,36.219437,6295000,19.785194,1983400,10.285488,27500,,,11.776963,18699500
18/04/12,25.336105,3717000,32.383415,188146,29.929457,20503700,38.468655,2787142,35.889706,5609200,19.709866,2015500,10.294988,9100,,,11.751627,18032400
19/04/12,25.113628,4209500,32.524467,277906,29.726234,26128000,38.558453,3257402,35.829746,5223700,19.659653,1705000,10.238003,8000,,,11.635071,17584800
20/04/12,25.416204,3278000,32.281872,324840,29.366665,16411600,38.775005,2744096,35.410072,5669300,19.64082,1707800,10.171521,11700,,,11.645205,12478700
23/04/12,24.339396,4445100,32.225452,218956,29.046186,19442800,38.003841,2691073,34.698124,12620700,19.163767,2250600,9.867611,9100,,,11.503316,15696100
24/04/12,24.495136,3462100,32.095699,254799,28.913321,12659800,38.151733,2070599,34.750587,4152700,19.44623,1818700,9.877106,30700,,,11.518516,11109300
25/04/12,25.180374,3737700,32.547028,417475,29.171251,14880200,38.775005,3099005,35.574944,7026100,19.835411,1489800,10.029063,28900,,,11.427302,17069600
26/04/12,25.113628,3621100,32.72757,285301,29.507357,13682700,38.875366,2109722,35.769787,6615200,19.95467,1796800,10.171521,9800,,,11.543858,21103000
